No,Question,Option1,Option2,Option3,Option4,Answer,Explanation
1,"温度一定で1.0&times;10<sup>5</sup> Pa, 3.0 Lの気体を3.0&times;10<sup>5</sup> Paにしたときの体積は？",1.0 L,4.5 L,9.0 L,1.5 L,1,"ボイルの法則(P1V1=P2V2)より、(1.0&times;10^5)&times;3.0 = (3.0&times;10^5)&times;V2、V2 = 1.0 Lです。圧力が3倍になると体積は1/3になります。"
2,"圧力一定で27 &deg;C, 3.0 Lの気体の温度を177 &deg;Cにすると体積は何Lになるか？",1.9 L,2.0 L,4.5 L,6.6 L,3,"シャルルの法則(V1/T1=V2T2)より、必ず絶対温度(K)に直します。T1=300 K、T2=450 K。3.0/300 = V2/450、V2 = 4.5 Lです。"
3,"27 &deg;C, 2.0&times;10<sup>5</sup> Paで10 Lの気体を0 &deg;C, 1.0&times;10<sup>5</sup> Paにしたときの体積は？",9.1 L,13.6 L,18.2 L,22.7 L,3,"ボイル・シャルルの法則(P1V1/T1=P2V2/T2)より、(2.0&times;10^5&times;10)/300 = (1.0&times;10^5&times;V2)/273。V2 = 18.2 Lです。"
4,"気体の状態方程式を正しく表したものはどれか？ (P:圧力, V:体積, n:物質量, T:絶対温度, R:気体定数)",PV = nRT,P/V = nRT,PT = nRV,PR = nVT,1,"気体の状態方程式は PV = nRT です。"
5,"次の反応エンタルピーの名称は？ H<sub>2</sub>O(液) &rarr; H<sub>2</sub>O(固) &Delta;H=-6.0 kJ",融解エンタルピー,昇華エンタルピー,気化エンタルピー,凝固エンタルピー,4,"液体が固体になる凝固反応のエンタルピー変化なので、凝固エンタルピーです。（融解はその逆反応）"
6,"次の反応エンタルピーの名称は？ Na(固) + 1/2Cl<sub>2</sub>(気) &rarr; NaCl(固) &Delta;H=-411 kJ",燃焼エンタルピー,溶解エンタルピー,結合エンタルピー,生成エンタルピー,4,"単体（Na, Cl2）から化合物が1 mol生成する反応なので、生成エンタルピーです。"
7,"酢酸ナトリウム(CH<sub>3</sub>COONa)水溶液の液性は？",酸性,塩基性,中性（強酸と強塩基の塩）,中性（弱酸と弱塩基の塩）,2,"弱酸(CH<sub>3</sub>COOH)と強塩基(NaOH)の塩であり、弱酸由来のイオンが加水分解してOH-を生じるため塩基性です。"
8,"塩化アンモニウム(NH<sub>4</sub>Cl)水溶液の液性は？",酸性,塩基性,中性（強酸と強塩基の塩）,中性（弱酸と弱塩基の塩）,1,"強酸(HCl)と弱塩基(NH<sub>4</sub>OH)の塩であり、弱塩基由来のイオンが加水分解してH+を生じるため酸性です。"
9,"炭素原子の数が4のアルカン(C<sub>4</sub>)の分子式は？",C<sub>4</sub>H<sub>8</sub>,C<sub>4</sub>H<sub>6</sub>,C<sub>4</sub>H<sub>10</sub>,C<sub>4</sub>H<sub>12</sub>,3,"アルカンの一般式 CnH2n+2 より、C<sub>4</sub>H<sub>10</sub> (ブタン)です。"
10,"炭素原子の数が5のアルケン(C<sub>5</sub>)の分子式は？",C<sub>5</sub>H<sub>10</sub>,C<sub>5</sub>H<sub>12</sub>,C<sub>5</sub>H<sub>8</sub>,C<sub>5</sub>H<sub>6</sub>,1,"アルケンの一般式 CnH2n より、C<sub>5</sub>H<sub>10</sub> (ペンテ*ン*)です。"
11,"30 &deg;Cの飽和水溶液の濃度が25％である物質の、水への溶解度はいくらか？",25 g,33 g,50 g,100 g,2,"水溶液100 g中、溶質25 g、水75 g。溶解度は水100 gあたりなので、25/75 = x/100 より x=33.3...gです。"
12,"溶解度が40である塩化カリウムの飽和水溶液100 g中に含まれる塩化カリウムの質量は？",28 g,29 g,40 g,43 g,2,"水100 g + 溶質40 g = 水溶液140 g。140 g中に40 g溶けているので、100 g中では (40/140)&times;100 &approx; 28.57 g、四捨五入して29 gです。"
13,"図のA（頂点と体心）が示す結晶格子構造の名称は？",面心立方格子,六方最密構造,体心立方格子,単純立方格子,3,"立方体の8個の頂点と、中心に1個の原子が配置された構造は体心立方格子です。"
14,"図のB（面心立方格子）の単位格子に含まれる原子の数は？",2個,4個,6個,8個,2,"頂点(1/8 &times; 8 = 1個)と面心(1/2 &times; 6 = 3個)の合計で4個です。"
15,"図のB（面心立方格子）の結晶中で、1個の原子に最も近く接触している原子の数（配位数）は？",8個,10個,12個,14個,3,"面心立方格子の配位数は12です。"
16,"黒鉛 1 molを完全燃焼させ394 kJの熱が発生する反応を&Delta;H形式で表したもの。",C(黒鉛)+O<sub>2</sub>=CO<sub>2</sub> &Delta;H=-394 kJ,C(黒鉛)+O<sub>2</sub>=CO<sub>2</sub>+394 kJ,C(黒鉛)+O<sub>2</sub>=CO<sub>2</sub> &Delta;H=+394 kJ,2C(黒鉛)+O<sub>2</sub>=2CO<sub>2</sub> &Delta;H=-394 kJ,1,"熱が発生する発熱反応なので、&Delta;Hは負の値(-394 kJ)になります。+394kJは古い熱化学方程式の書き方です。"
17,"C<sub>2</sub>H<sub>6</sub> 1 molの燃焼エンタルピーが-1561 kJである。&Delta;H形式で正しく表したものは？",C<sub>2</sub>H<sub>6</sub>+3O<sub>2</sub>=2CO<sub>2</sub>+3H<sub>2</sub>O(液) &Delta;H=-1561 kJ,C<sub>2</sub>H<sub>6</sub>+7/2O<sub>2</sub>=2CO<sub>2</sub>+3H<sub>2</sub>O(液) &Delta;H=-1561 kJ,C<sub>2</sub>H<sub>6</sub>+7/2O<sub>2</sub>=2CO<sub>2</sub>+3H<sub>2</sub>O(液) &Delta;H=+1561 kJ,C<sub>2</sub>H<sub>6</sub>+3O<sub>2</sub>=2CO<sub>2</sub>+3H<sub>2</sub>O(液) &Delta;H=-780.5 kJ,2,"エタン(C<sub>2</sub>H<sub>6</sub>)の係数を1とし、酸素の係数を合わせると7/2となる。発熱反応なので&Delta;Hは負の値(-1561 kJ)です。"
18,"黒鉛と水素からアセチレンC<sub>2</sub>H<sub>2</sub> 1 molが生成するとき、227 kJの熱が吸収される反応を&Delta;H形式で表したものは？",2C(黒鉛)+H<sub>2</sub>=C<sub>2</sub>H<sub>2</sub> &Delta;H=-227 kJ,2C(黒鉛)+H<sub>2</sub>=C<sub>2</sub>H<sub>2</sub> &Delta;H=+227 kJ,C(黒鉛)+H=C<sub>2</sub>H<sub>2</sub> &Delta;H=+227 kJ,C(黒鉛)+H<sub>2</sub>=C<sub>2</sub>H<sub>2</sub> &Delta;H=+227 kJ,2,"熱が吸収される吸熱反応なので、&Delta;Hは正の値(+227 kJ)になります。"
19,"電池は、（ ）反応を利用して電気エネルギーを取り出す装置である。",加水分解,中和,酸化還元,分解,3,"電池は、酸化還元反応のエネルギーを利用します。"
20,"負極で酸化剤としてはたらく物質を何というか？",正極活物質,負極活物質,酸化剤,還元剤,2,"負極で酸化され（電子を失い）、自身は還元剤として働く物質を負極活物質といいます。"
21,"ダニエル電池で銅板を浸す水溶液として正しいものは？",硫酸亜鉛水溶液,塩化カリウム水溶液,水酸化ナトリウム水溶液,硫酸銅(II)水溶液,4,"ダニエル電池では、銅板を硫酸銅(II)水溶液に、亜鉛板を硫酸亜鉛水溶液に浸します。"
22,"金属の単体が水溶液中で陽イオンになろうとする性質を何というか？",電気陰性度,イオン化エネルギー,イオン化傾向,電気伝導度,3,"金属の陽イオンになりやすさを示す性質をイオン化傾向といいます。"
23,"燃料と酸素を外部から供給し、電気エネルギーを取り出す装置は？",二次電池,リチウムイオン電池,燃料電池,太陽電池,3,"燃料電池は、燃焼による熱ではなく、燃料の化学反応から直接電気を取り出します。"
24,"電気分解で電源の正極につないだ電極を何というか？",陽極,陰極,2,"電源の正極(+)に繋いだ電極が陽極(Anode)です。陰極(Cathode)は負極(&minus;)に繋ぎます。"
25,"陽極で起こる反応は何か？",酸化反応,還元反応,1,"陽極では電子が流れ出し（奪われ）、酸化反応が起こります。陰極では電子が流れ込み、還元反応が起こります。"
26,"電気分解において、流した電気量と変化する物質の量の関係を示す法則は？",ボイル・シャルルの法則,ヘスの法則,ファラデーの法則,アボガドロの法則,3,"ファラデーの法則は、電気分解で流れた電気量と、析出・発生する物質量が比例することを示します。"
27,"塩酸(HCl)を白金電極で電気分解したとき、陽極で発生する物質は？",H<sub>2</sub>,O<sub>2</sub>,Cl<sub>2</sub>,Na,3,"陽極ではCl-が酸化され、Cl<sub>2</sub>が発生します。"
28,"硫酸ナトリウム(Na<sub>2</sub>SO<sub>4</sub>)水溶液を電気分解したとき、陽極で発生する物質は？",Na,SO<sub>2</sub>,H<sub>2</sub>,O<sub>2</sub>,4,"SO<sub>4</sub><sup>2-</sup>は酸化されにくいため、代わりに水が酸化されO<sub>2</sub>が発生します。"
29,"硝酸銀(AgNO<sub>3</sub>)水溶液を電気分解したとき、陽極で発生する物質は？",Ag,NO<sub>2</sub>,O<sub>2</sub>,H<sub>2</sub>,3,"NO<sub>3</sub><sup>-</sup>は酸化されにくいため、代わりに水が酸化されO<sub>2</sub>が発生します。（陰極ではAgが析出します）"
30,"硫化鉄(II)に希硫酸を加えたときに発生する気体は？",H<sub>2</sub>,SO<sub>2</sub>,H<sub>2</sub>S,O<sub>2</sub>,3,"FeS + H<sub>2</sub>SO<sub>4</sub> &rarr; FeSO<sub>4</sub> + H<sub>2</sub>S（硫化水素）です。"
31,"過酸化水素水に酸化マンガン(IV)を加えたときに発生する気体(O<sub>2</sub>)の捕集法は？",水上置換,下方置換,上方置換,1,"O<sub>2</sub>は水に少し溶けますが、水上置換で捕集されます。空気よりわずかに重いため下方置換も可能ですが、水上置換が一般的です。"
32,"銅に濃硝酸を加えたときに発生する気体の化学式は？",NO,NO<sub>2</sub>,NH<sub>3</sub>,N<sub>2</sub>,2,"濃硝酸ではNO<sub>2</sub>（二酸化窒素、赤褐色）が発生します。希硝酸ではNO（一酸化窒素、無色）が発生します。"
33,"二酸化窒素(NO<sub>2</sub>)の最も適切な捕集法は？",水上置換,下方置換,上方置換,2,"NO<sub>2</sub>は水によく溶け、空気より重いため、下方置換で捕集します。"
34,"炭酸水素ナトリウムを加熱する反応の生成物は？",Na<sub>2</sub>O,CO,H<sub>2</sub>,H<sub>2</sub>O+CO<sub>2</sub>,4,"2NaHCO<sub>3</sub> &rarr; Na<sub>2</sub>CO<sub>3</sub> + H<sub>2</sub>O + CO<sub>2</sub>（炭酸ナトリウム、水、二酸化炭素）です。"
35,"石灰水に二酸化炭素を通じたときに起こる反応を化学反応式で表したもの。",CaCO<sub>3</sub>+H<sub>2</sub>O,Ca(OH)<sub>2</sub>+CO<sub>2</sub> &rarr; CaCO<sub>3</sub>+H<sub>2</sub>O,Ca(OH)<sub>2</sub>+CO<sub>2</sub> &rarr; Ca(HCO<sub>3</sub>)<sub>2</sub>,Ca(OH)<sub>2</sub>+2CO<sub>2</sub> &rarr; Ca(HCO<sub>3</sub>)<sub>2</sub>,2,"Ca(OH)<sub>2</sub> + CO<sub>2</sub> &rarr; CaCO<sub>3</sub> + H<sub>2</sub>O（炭酸カルシウムが沈殿し白濁）です。"
36,"メタンのH原子1個を&minus;OHで置換した化合物の名称は？",エタノール,メタノール,メタン酸,アセトン,2,"CH<sub>4</sub>からCH<sub>3</sub>OHになるのでメタノールです。"
37,"エタノールの分子内で脱水反応が起こると生じる化合物は？",ジエチルエーテル,エチレン,アセトアルデヒド,アセチレン,2,"分子内脱水(160～170 &deg;C)により二重結合が生じ、エチレン(CH<sub>2</sub>=CH<sub>2</sub>)が生成します。"
38,"アセトアルデヒドを酸化して得られる化合物は？",エタノール,ギ酸,メタノール,酢酸,4,"アルデヒド(CH<sub>3</sub>CHO)を酸化するとカルボン酸（酢酸 CH<sub>3</sub>COOH）が得られます。"
39,"ベンゼン環にカルボキシ基(&minus;COOH)が結合した化合物の名称は？",フェノール,サリチル酸,アニリン,安息香酸,4,"C<sub>6</sub>H<sub>5</sub>COOH は安息香酸です。"
40,"サリチル酸とメタノールのエステルの名称は？",酢酸メチル,サリチル酸メチル,アセチルサリチル酸,安息香酸メチル,2,"サリチル酸のカルボキシ基とメタノールがエステル結合し、サリチル酸メチルが生成します。"
41,"グルコースのように、それ以上加水分解されない糖類を何というか？",二糖類,多糖類,単糖類,複合糖質,3,"グルコースは最も単純な糖であり、単糖類です。"
42,"硫酸水素ナトリウム(NaHSO<sub>4</sub>)水溶液の液性は？",酸性,塩基性,中性,1,"強酸(H<sub>2</sub>SO<sub>4</sub>)の酸性塩であり、水溶液中でHSO<sub>4</sub><sup>-</sup> &rarr; H<sup>+</sup> + SO<sub>4</sub><sup>2-</sup>と電離するため酸性です。"
43,"銅に希硝酸を加えたときに発生する気体の化学式は？",NO<sub>2</sub>,NO,NH<sub>3</sub>,H<sub>2</sub>,2,"希硝酸では一酸化窒素(NO)が発生します。濃硝酸では二酸化窒素(NO<sub>2</sub>)が発生します。"
44,"硫化水素(H<sub>2</sub>S)の最も適切な捕集法は？",水上置換,下方置換,上方置換,2,"H<sub>2</sub>Sは水に溶け、空気より重いため、下方置換で捕集します。"
45,"炭酸カルシウム(CaCO<sub>3</sub>)に希塩酸を加えたときに発生する気体の化学式は？",H<sub>2</sub>,O<sub>2</sub>,CO<sub>2</sub>,Cl<sub>2</sub>,3,"CaCO<sub>3</sub> + 2HCl &rarr; CaCl<sub>2</sub> + H<sub>2</sub>O + CO<sub>2</sub>（二酸化炭素）です。"
46,"炭素原子の数が6のアルキン(C<sub>6</sub>)の分子式は？",C<sub>6</sub>H<sub>12</sub>,C<sub>6</sub>H<sub>14</sub>,C<sub>6</sub>H<sub>10</sub>,C<sub>6</sub>H<sub>8</sub>,3,"アルキンの一般式 CnH2n-2 より、C<sub>6</sub>H<sub>10</sub> (ヘキシン)です。"
47,"エタノールを130 &deg;C付近で分子間脱水したときに生成する化合物の名称は？",エチレン,ジエチルエーテル,酢酸,アセトアルデヒド,2,"2分子のエタノールから1分子の水が取れ、CH<sub>3</sub>CH<sub>2</sub>-O-CH<sub>2</sub>CH<sub>3</sub>（ジエチルエーテル）が生成します。"
48,"酢酸とメタノールを反応させたときに生成するエステルの名称は？",ギ酸メチル,酢酸メチル,酢酸エチル,ギ酸エチル,2,"酢酸の「酢酸」と、メタノールの「メチル」を合わせて酢酸メチルです。"
49,"ベンゼン環にアミノ基(&minus;NH<sub>2</sub>)が結合した化合物の名称は？",フェノール,トルエン,アニリン,ニトロベンゼン,3,"C<sub>6</sub>H<sub>5</sub>NH<sub>2</sub> はアニリンです。"
50,"デンプンを構成する2種類の多糖類は、アミロースと何か？",グルコース,アミロペクチン,セルロース,ショ糖,2,"デンプンは、アミロース（直鎖状）とアミロペクチン（枝分かれ状）の混合物です。"
51,"単糖類が多数結合して多糖類を生成する反応の名称は？",加水分解,縮合重合,付加重合,脱水縮合,4,"水分子が取れながら結合していく反応は脱水縮合（または縮合）です。"
52,"ビスコースレーヨンやキュプラ(銅アンモニアレーヨン)などの繊維の分類は？",合成繊維,再生繊維,半合成繊維,天然繊維,2,"天然のセルロースを一度溶かして再生した繊維を再生繊維といいます。"
53,"ポリエチレンやポリプロピレンなどの、二重結合が開いて分子が結合していく重合反応の名称は？",縮合重合,付加重合,開環重合,共重合,2,"二重結合が開く反応は付加重合です。"
54,"ポリエチレンは熱硬化性樹脂である。",正,誤,2,"誤。ポリエチレンは加熱すると軟化する「熱可塑性樹脂」です。ベークライトなどが熱硬化性樹脂です。"
55,"フェノール樹脂（ベークライト）は縮合重合によって作られる。",正,誤,1,"正。フェノールとホルムアルデヒドが水分子を取りながら縮合重合して作られます。"
56,"6,6-ナイロンの原料となるアミンとカルボン酸はそれぞれ何か？",エチレングリコール、テレフタル酸,ヘキサメチレンジアミン、アジピン酸,アニリン、フェノール,エタノール、酢酸,2,"6,6-ナイロンは、ヘキサメチレンジアミン（アミン）とアジピン酸（カルボン酸）の縮合重合で作られます。"
57,"27 &deg;C, 2.0&times;10<sup>5</sup> Paで8.3Lの気体の物質量は？ (R=8.3&times;10<sup>3</sup> Pa・L/K・mol)",0.67 mol,1.0 mol,1.5 mol,2.0 mol,1,"状態方程式 n=PV/RT = (2.0&times;10^5 &times; 8.3) / (8.3&times;10^3 &times; 300) = 0.67 molです。"
58,"反応 A + 2B &rarr; C + D の反応エンタルピーは？ (A,B,C,Dの生成エンタルピーをa,b,c,dとする)",(a+2b) - (c+d),(c+d) - (a+2b),(c+d) + (a+2b),(a+b) - (c+d),2,"反応エンタルピーは「(生成物の総和) - (反応物の総和)」で求められます。係数に注意してください。"
59,"次の反応エンタルピーの名称は？ Cl<sub>2</sub>(気) &rarr; 2Cl(気) &Delta;H=+243 kJ",結合エンタルピー,燃焼エンタルピー,生成エンタルピー,凝固エンタルピー,1,"分子内の共有結合1 molを切断して原子にするために必要なエンタルピーであり、結合エンタルピーです。"
60,"セルロースのヒドロキシ基をアセチル化して作られた繊維（半合成繊維）は？",ビニロン,ナイロン,アセテート,ベークライト,3,"セルロース（天然高分子）を化学変化させて作るため半合成繊維といい、アセチル化したものをアセテートと呼びます。"
61,"桜田一郎によって発明された日本で最初の合成繊維は？",レーヨン,ナイロン,ビニロン,アセテート,3,"ビニロンは日本で初めて工業化された合成繊維です。"
62,"iPS細胞の作製技術を確立し、ノーベル賞を受賞した日本人科学者は？",本庶 佑,山中 伸弥,大隅 良典,利根川 進,2,"山中伸弥氏が2012年にノーベル生理学・医学賞を受賞しました。"
